product_name,description,price,category
Men's Hiking Boots,"Durable and waterproof hiking boots for men",89.99,footwear
Women's Hiking Boots,"Durable and waterproof hiking boots for women",89.99,footwear
Men's Hiking Pants,"Breathable and quick-drying hiking pants for men",49.99,pants
Women's Hiking Pants,"Breathable and quick-drying hiking pants for women",49.99,pants
Men's Hiking Shirt,"Lightweight and moisture-wicking hiking shirt for men",29.99,shirts
Women's Hiking Shirt,"Lightweight and moisture-wicking hiking shirt for women",29.99,shirts
Men's Hiking Jacket,"Waterproof and windproof hiking jacket for men",99.99,jackets
Women's Hiking Jacket,"Waterproof and windproof hiking jacket for women",99.99,jackets
Hiking Backpack,"Spacious and comfortable backpack for hiking",79.99,accessories
Hiking Hat,"Breathable and sun-protective hat for hiking",19.99,accessories
